Title;Speaker;Place;Day;Time;Description
In-Depth Data Analysis at Your Fingertips: Esri Community and Business Analyst;;Suffolk;Friday;3:25 p.m. - 4:25 p.m.;"
"
Managers: Making the investigative commitment and building the team;;Salon E;Friday;3:25 p.m. - 4:25 p.m.;"
"
Google Refine;;Wellesley;Friday;3:25 p.m. - 4:25 p.m.;"
"
Investigating sacred cows;;Salon A-B;Friday;3:25 p.m. - 4:25 p.m.;"
"
Campaign 2012: Backgrounding candidates and truth-testing claims (Sponsored by Rockefeller Brothers Fund);;Boylston;Friday;3:25 p.m. - 4:25 p.m.;"
"
The year in investigative reporting;;Clarendon-Dartmouth;Friday;3:25 p.m. - 4:25 p.m.;"
"
Guilty until proven innocent;;Salon C-D;Friday;3:25 p.m. - 4:25 p.m.;"
"
Showcase panel: After News Corp.: How far is too far in investigative reporting;;Salon E;Friday;4:35 p.m. - 6 p.m.;"
"
Analyzing the past, present and future with U.S. Census data;;Salon C-D;Friday;4:35 p.m. - 6 p.m.;"
"
Investigating poverty;;Clarendon-Dartmouth;Friday;4:35 p.m. - 6 p.m.;"
"
Access 1;;Wellesley;Saturday;8:30 a.m. - 9:30 a.m.;"
"
On the beat: Environment;;Arlington-Berkeley;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Juvenile justice: Is the system working?;;Boylston;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Identifying the next big investigation;;Tremont;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Broadcast: Top investigations of 2012;;Clarendon-Dartmouth;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Turning your investigation into a book;;Salon C-D;Saturday;8:30 a.m. - 9:30 a.m.;"
"
American FactFinder2;;Suffolk;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Mexodus: Student-Professional collaborations in two languages;;Salon A-B;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Pieces of the past: Building your stories from archives and historical documents;;Salon E;Saturday;8:30 a.m. - 9:30 a.m.;"
"
Policing the police;;Arlington-Berkeley;Saturday;9:40 a.m. - 10:40 a.m.;"
"
From community colleges to universities: Investigating higher ed (Sponsored by Lumina Foundation);;Boylston;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Uncovering the private parts of public officials;;Suffolk;Saturday;9:40 a.m. - 10:40 a.m.;"
"
On the beat: Government;;Salon E;Saturday;9:40 a.m. - 10:40 a.m.;"
"
The art of source development;;Salon A-B;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Investigating racial disparities;;Clarendon-Dartmouth;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Managers: Managing the multimedia project;;Tremont;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Access 2;;Wellesley;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Campaign 2012: How healthcare and the other key issues are shaping the race (Sponsored by Rockefeller Brothers Fund);;Salon C-D;Saturday;9:40 a.m. - 10:40 a.m.;"
"
Investigative reporting in China;;Tremont;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Social media for journalists;;Boylston;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Access 3;;Wellesley;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Truthiness and investigative reporting;;Arlington-Berkeley;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Follow the money: The boom in toll roads;;Salon C-D;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Broadcast: The confrontation;;Clarendon-Dartmouth;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Resources for journalists to leverage academic  research;;Suffolk;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Promoting your investigation;;Salon E;Saturday;10:50 a.m. - 11:50 a.m.;"
"
Digging into housing scandals;;Salon A-B;Saturday;10:50 a.m. - 11:50 a.m.;"
"
IRE Awards Luncheon featuring keynote speaker Jill Abramson, The New York Times;;Salon F-K;Saturday;noon - 2 p.m.;"
"
Intro to Excel for elections;;Wellesley;Saturday;2:30 p.m. - 3:30 p.m.;"
"
MUSE;;Suffolk;Saturday;2:30 p.m. - 3:30 p.m.;"
"
"Campaign 2012: What&#39;s so super about PACS? (Sponsored by Rockefeller Brothers Fund)";;Boylston;Saturday;2:30 p.m. - 3:30 p.m.;"
"
Investigating prison abuse (Sponsored by the Dart Center for Journalism and Trauma and The Dart Society);;Salon A-B;Saturday;2:30 p.m. - 3:30 p.m.;"
"
Managers: Picking projects that will have impact;;Tremont;Saturday;2:30 p.m. - 3:30 p.m.;"
"
America: What went wrong 2012;;Arlington-Berkeley;Saturday;2:30 p.m. - 3:30 p.m.;"
"
Anatomy of an investigation: Behind the story with two IRE Medal winners;;Salon E;Saturday;2:30 p.m. - 3:30 p.m.;"
"
Broadcast: The paper chase;;Clarendon-Dartmouth;Saturday;2:30 p.m. - 3:30 p.m.;"
"
