Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Love your life, retire your servers",2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Andy Boyle, Tasneem Raja - Building news applications is hard. Running dozens of servers&mdash;or even one&mdash;can be even harder. Save your sanity: build everything as a &ldquo;static&rdquo; project instead. We&rsquo;ll show you the pros and cons of getting rid of most of your pesky servers, tell you what you&rsquo;ll need instead, and show you how static apps can make your life easier and even help you work with the rest of your newsroom.",Salon DEF,False
FollowTheMoney: Lead the pack in tracking campaign finance,2014-02-27,11:00:00 a.m.,2014-02-27,11:50 a.m.,False,"Speakers: Edwin Bender, John Perry - Take your political reporting to higher levels with FTM's new and expanded website. Learn insider tips on how to add ingenious features and expanded data to your reporting toolkit.",Chesapeake,False
Tableau Public for pros (Hosted by Tableau),2014-02-27,1:30 p.m.,2014-02-27,5:30 p.m.,False,"Speakers: Mike Klaczynski - Take your data visualization skills to the next level. In this class we'll push Tableau's capabilities further to create more complex visualizations. You'll learn how to: Clean and format dirty data, use multiple data sources in the same visualization, build more advanced visualizations and employ advanced interactive elements.",Stadium 1,False
NewsCamp: The next generation of data viz (Beginner),2014-02-27,2:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Arvind Satyanarayan, Christopher Canipe - Beginner Class",Stadium 4,False
NewsCamp: The next generation of data viz (Advanced),2014-02-27,2:00:00 p.m.,2014-02-27,4:50 p.m.,False,"Speakers: Irene Ros, Alastair Dant - Advanced Class",See printed schedule for room information,False
The customized Census: How to use microdata when you just can&#39;t find the right table,2014-02-27,2:00:00 p.m.,2014-02-27,2:50 p.m.,False,"Speakers: Robert Gebeloff, Katie Genadek - So you want to use Census data but you can't find a Census table that has exactly what you want. Or you want to create a time series, and you're not sure if this year's table is comparable with past years. Census microdata, and the folks at IPUMS, are here to help. Learn how this free and useful resource for developing customized tables from the Decennial Census, American Community Survey and the Current Population Survey has produced stories that couldn't be told with published data alone.",Chesapeake,False
Free tools for data analysis,2014-02-27,2:00:00 p.m.,2014-02-27,2:50 p.m.,False,"Speakers: Martin Burch, Matt Wynn - A breathless tour of the universe of free software that&rsquo;s available to help import, summarize, manage, graph and map your data. From statistical analysis in R and Python to geospatial analysis in QGIS, PostGIS, and Spatialite, we&rsquo;ve got the tools for you.",Salon DEF,False
Hacks or Hackers?,2014-02-27,2:00:00 p.m.,2014-02-27,2:50 p.m.,False,"Speakers: Jeremy Singer-Vine, Isaac Wolf, Scott Klein, Tor Ekeland - As more data and services move online, web-scraping, HTTP traffic monitoring, and reverse-engineering have quickly become indispensable tools for investigative journalism. On their face, many of these techniques don't look much different from those employed by less-benevolent ""hackers."" Where should journalists draw the line between clever reporting techniques and unethical, or illegal, tactics? Where has law enforcement drawn the line? Join a panel of lawyer(s) and journalists for a debate on scraping, sniffing, impersonation, honeypots, the Computer Fraud and Abuse Act, and more.",Grand Ballroom East,False
Killers and other criminals: Keeping tabs on crime,2014-02-27,2:00:00 p.m.,2014-02-27,2:50 p.m.,False,"Speakers: Laura Amico, John Bones - This panel will discuss crime reporting and provide take-aways for application on other beats, too. Two cases studies will be featured: Homicide Watch DC and a data-intensive project from VG in Norway.",Salon BC,False
The data-driven story (Part 3): Bulletproofing and presentation,2014-02-27,2:00:00 p.m.,2014-02-27,2:50 p.m.,False,"Speakers: Brant Houston, Matt Stiles",Grand Ballroom West,False
"Make reporting better, together — Collaborative reporting with GitHub",2014-02-27,3:00:00 p.m.,2014-02-27,3:50 p.m.,False,"Speakers: Ben Balter, Jordan McCullough - GitHub is a collaborative development platform used by newsrooms around the world. Whether you find yourself collaborating on code, data, or prose, you'll be able to bring back to your newsroom a firm grasp of conversational GitHub for journalists, how GitHub is being used today, and the potential for version control and collaborative tools like GitHub for rethinking reporting in an age where technology is making it easier to work together than alone.",Chesapeake,False
"Save the data: going from zip (drive) to news by rescuing, analyzing old data",2014-02-27,3:00:00 p.m.,2014-02-27,3:50 p.m.,False,"Speakers: Cheryl Phillips, Gregg Leslie, Jacob Harris - Come help explore the possibilities and cautions in saving, rescuing and reviving old data sets as well as aggregating and standardizing disparate local data to create a bigger impact. Possible hackfest to follow.",Grand Ballroom West,False
When data don&#39;t exist,2014-02-27,3:00:00 p.m.,2014-02-27,3:50 p.m.,False,"Speakers: Sarah Cohen, Meghan Hoyer, Matthew Waite - You've got a great story idea but no one tracks the data. Time to quit, right? Wrong. We'll show you the tools, and the pitfalls, of making your own data when no data exists.",Salon DEF,False
Docs! Docs! Docs!,2014-02-27,3:00:00 p.m.,2014-02-27,3:50 p.m.,False,"Speakers: Ted Han, Shane Shifflett, Jonathan Stray, Mike Tigas, Tyler Dukes - **Moderated by Tyler Dukes, WRAL-Raleigh",Grand Ballroom East,False
